,Location,Price_per_sqft,Total_sqft,Area,BHK,Price
124,2 BHK Apartment in Sahakara Nagar,"₹ 6,583/sq.ft.","1,200 sq.ft. (111 sq.m.) Built-up Area",(111 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 79 L₹ 6,583/sq.ft."
125,3 BHK Apartment in Sahakara Nagar,"₹ 5,947/sq.ft.","1,345 sq.ft. (125 sq.m.) Super built-up Area",(125 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 80 L₹ 5,947/sq.ft."
126,2 BHK Independent Builder Floor in Domlur,"₹ 7,826/sq.ft.","1,150 sq.ft. (107 sq.m.) Built-up Area",(107 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 90 L₹ 7,826/sq.ft."
127,3 BHK Apartment in Hennur Road,"₹ 8,176/sq.ft.","1,590 sq.ft. (148 sq.m.) Super built-up Area",(148 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 8,176/sq.ft."
128,3 BHK Apartment in HBR Layout,"₹ 11,182/sq.ft.","2,012 sq.ft. (187 sq.m.) Carpet Area",(187 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.25 Cr₹ 11,182/sq.ft."
129,2 BHK Apartment in Tejaswini Nagar,"₹ 5,344/sq.ft.","1,160 sq.ft. (108 sq.m.) Super built-up Area",(108 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 62 L₹ 5,344/sq.ft."
130,2 BHK Apartment in Yelahanka,"₹ 5,511/sq.ft.","1,270 sq.ft. (118 sq.m.) Super built-up Area",(118 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 70 L₹ 5,511/sq.ft."
131,3 BHK Apartment in Koramangala,"₹ 11,666/sq.ft.","1,200 sq.ft. (111 sq.m.) Carpet Area",(111 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.4 Cr₹ 11,666/sq.ft."
132,3 BHK Apartment in Sampangi Rama Nagar,"₹ 7,575/sq.ft.","1,650 sq.ft. (153 sq.m.) Built-up Area",(153 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 1.25 Cr₹ 7,575/sq.ft."
133,Residential land / Plot in IVC Road,"₹ 2,500/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 39 L₹ 2,500/sq.ft."
134,2 Bedroom House in Horamavu,"₹ 7,238/sq.ft.","1,004 sq.ft. (93 sq.m.) Plot Area",(93 sq.m.) Plot Area,2 BHK2 Baths,"₹ 76 L₹ 7,238/sq.ft."
135,Residential land / Plot in Gattahalli,"₹ 6,916/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 83 L₹ 6,916/sq.ft."
136,Residential land / Plot in Nelamangala,"₹ 1,750/sq.ft.","3,293 sq.ft. (306 sq.m.) Plot Area",(306 sq.m.) Plot Area,,"₹ 57.63 L₹ 1,750/sq.ft."
137,2 BHK Apartment in Bommanahalli,"₹ 2,890/sq.ft.","1,038 sq.ft. (96 sq.m.) Super built-up Area",(96 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 30 L₹ 2,890/sq.ft."
138,3 BHK Apartment in Hoodi,"₹ 4,469/sq.ft.","1,320 sq.ft. (123 sq.m.) Built-up Area",(123 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 59 L₹ 4,469/sq.ft."
139,4 Bedroom House in Kaggadasapura,"₹ 8,750/sq.ft.","2,000 sq.ft. (186 sq.m.) Built-up Area",(186 sq.m.) Built-up Area,4 BHK3 Baths,"₹ 1.75 Cr₹ 8,750/sq.ft."
140,2 BHK Apartment in Near International Airport,"₹ 10,900/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1.09 Cr₹ 10,900/sq.ft."
141,3 BHK Independent Builder Floor in Frazer Town,"₹ 6,500/sq.ft.","2,000 sq.ft. (186 sq.m.) Super built-up Area",(186 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 6,500/sq.ft."
142,3 BHK Apartment in Kodihalli,"₹ 6,516/sq.ft.","1,335 sq.ft. (124 sq.m.) Built-up Area",(124 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 87 L₹ 6,516/sq.ft."
143,2 BHK Apartment in Mallasandra,"₹ 5,914/sq.ft.","1,082 sq.ft. (101 sq.m.) Carpet Area",(101 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 64 L₹ 5,914/sq.ft."
144,Residential land / Plot in Kanakapura Road,"₹ 2,500/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 37.5 L₹ 2,500/sq.ft."
145,13 Bedroom House in Belathur,"₹ 20,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,13 BHK12 Baths,"₹ 2.5 Cr₹ 20,000/sq.ft."
146,2 Bedroom House in Naganathapura,"₹ 12,500/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,2 BHK2 Baths,"₹ 1.5 Cr₹ 12,500/sq.ft."
147,3 BHK Apartment in Near International Airport,"₹ 3,618/sq.ft.","1,520 sq.ft. (141 sq.m.) Super built-up Area",(141 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 55 L₹ 3,618/sq.ft."
148,Residential land / Plot in Rajajinagar,"₹ 19,583/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 2.35 Cr₹ 19,583/sq.ft."
149,3 Bedroom House in Sunkadakatte,"₹ 5,439/sq.ft.","1,140 sq.ft. (106 sq.m.) Built-up Area",(106 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 62 L₹ 5,439/sq.ft."
150,2 BHK Apartment in Mysore Road,"₹ 9,255/sq.ft.",940 sq.ft. (87 sq.m.) Super built-up Area,(87 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 87 L₹ 9,255/sq.ft."
151,4 Bedroom House in Jeevan bima nagar,"₹ 9,725/sq.ft.","2,879 sq.ft. (267 sq.m.) Built-up Area",(267 sq.m.) Built-up Area,4 BHK4 Baths,"₹ 2.8 Cr₹ 9,725/sq.ft."
152,2 BHK Apartment in EPIP Zone,"₹ 6,283/sq.ft.","1,130 sq.ft. (105 sq.m.) Super built-up Area",(105 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 71 L₹ 6,283/sq.ft."
153,3 BHK Apartment in Kothanur,"₹ 7,579/sq.ft.","2,045 sq.ft. (190 sq.m.) Super built-up Area",(190 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.55 Cr₹ 7,579/sq.ft."
154,Residential land / Plot in Kasavanhalli,"₹ 10,000/sq.ft.","3,600 sq.ft. (334 sq.m.) Plot Area",(334 sq.m.) Plot Area,,"₹ 3.6 Cr₹ 10,000/sq.ft."
155,7 Bedroom House in KR Puram,"₹ 20,754/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,7 BHK8 Baths,"₹ 2.2 Cr₹ 20,754/sq.ft."
156,9 BHK Independent Builder Floor in Teachers Colony,"₹ 6,888/sq.ft.","2,250 sq.ft. (209 sq.m.) Built-up Area",(209 sq.m.) Built-up Area,9 BHK9 Baths,"₹ 1.55 Cr₹ 6,888/sq.ft."
157,3 BHK Independent Builder Floor in BEML Layout,"₹ 17,187/sq.ft.","1,600 sq.ft. (149 sq.m.) Carpet Area",(149 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.75 Cr₹ 17,187/sq.ft."
158,4 Bedroom House in Hessarghatta,"₹ 8,211/sq.ft.","2,180 sq.ft. (203 sq.m.) Plot Area",(203 sq.m.) Plot Area,4 BHK4 Baths,"₹ 1.79 Cr₹ 8,211/sq.ft."
159,Residential land / Plot in Yelahanka,"₹ 4,500/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,,"₹ 1.08 Cr₹ 4,500/sq.ft."
160,2 BHK Apartment in Hosa Road,"₹ 4,190/sq.ft.","1,050 sq.ft. (98 sq.m.) Built-up Area",(98 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 44 L₹ 4,190/sq.ft."
161,2 BHK Apartment in Chandapura,"₹ 4,153/sq.ft.",711 sq.ft. (66 sq.m.) Built-up Area,(66 sq.m.) Built-up Area,2 BHK1 Bath,"₹ 25.5 L₹ 4,153/sq.ft."
162,3 Bedroom House in Bendiganahalli,"₹ 7,500/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK3 Baths,"₹ 90 L₹ 7,500/sq.ft."
163,9 Bedroom House in Hennur Bande,"₹ 7,796/sq.ft.","2,950 sq.ft. (274 sq.m.) Plot Area",(274 sq.m.) Plot Area,9 BHK9 Baths,"₹ 2.3 Cr₹ 7,796/sq.ft."
164,3 BHK Apartment in Yelahanka New Town,"₹ 6,386/sq.ft.","1,879 sq.ft. (175 sq.m.) Built-up Area",(175 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 1.2 Cr₹ 6,386/sq.ft."
165,2 BHK Apartment in BTM 1st Stage,"₹ 4,360/sq.ft.","1,330 sq.ft. (124 sq.m.) Super built-up Area",(124 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 58 L₹ 4,360/sq.ft."
166,Residential land / Plot in Devanahalli,"₹ 4,554/sq.ft.","1,976 sq.ft. (184 sq.m.) Plot Area",(184 sq.m.) Plot Area,,"₹ 90 L₹ 4,554/sq.ft."
167,2 BHK Apartment in Electronic City,"₹ 7,107/sq.ft.","1,196 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 85 L₹ 7,107/sq.ft."
168,Residential land / Plot in KR Puram,"₹ 5,279/sq.ft.","1,326 sq.ft. (123 sq.m.) Plot Area",(123 sq.m.) Plot Area,,"₹ 70 L₹ 5,279/sq.ft."
169,2 BHK Apartment in Yelahanka,"₹ 5,726/sq.ft.","1,135 sq.ft. (105 sq.m.) Built-up Area",(105 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 65 L₹ 5,726/sq.ft."
170,2 BHK Apartment in Yelahanka,"₹ 5,794/sq.ft.","1,070 sq.ft. (99 sq.m.) Super built-up Area",(99 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 62 L₹ 5,794/sq.ft."
171,2 BHK Apartment in Yelahanka,"₹ 5,829/sq.ft.","1,115 sq.ft. (104 sq.m.) Super built-up Area",(104 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 65 L₹ 5,829/sq.ft."
172,Residential land / Plot in Anekal,"₹ 3,750/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 45 L₹ 3,750/sq.ft."
173,3 BHK Apartment in Uttarahalli,"₹ 5,000/sq.ft.","1,340 sq.ft. (124 sq.m.) Carpet Area",(124 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 67 L₹ 5,000/sq.ft."
174,Residential land / Plot in Kothanur,"₹ 6,437/sq.ft.","1,165 sq.ft. (108 sq.m.) Plot Area",(108 sq.m.) Plot Area,,"₹ 75 L₹ 6,437/sq.ft."
175,4 Bedroom House in Amarjyothi Colony,"₹ 23,809/sq.ft.","1,260 sq.ft. (117 sq.m.) Plot Area",(117 sq.m.) Plot Area,4 BHK4 Baths,"₹ 3 Cr₹ 23,809/sq.ft."
176,3 BHK Independent Builder Floor in Gubbalala,"₹ 5,867/sq.ft.","1,619 sq.ft. (150 sq.m.) Carpet Area",(150 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 95 L₹ 5,867/sq.ft."
177,4 BHK Independent Builder Floor in Kempapura,"₹ 5,111/sq.ft.","4,500 sq.ft. (418 sq.m.) Built-up Area",(418 sq.m.) Built-up Area,4 BHK4 Baths,"₹ 2.3 Cr₹ 5,111/sq.ft."
178,3 BHK Apartment in Chandapura,"₹ 4,177/sq.ft.","1,197 sq.ft. (111 sq.m.) Carpet Area",(111 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 50 L₹ 4,177/sq.ft."
179,3 Bedroom House in Sudhama Nagar,"₹ 25,000/sq.ft.","1,600 sq.ft. (149 sq.m.) Plot Area",(149 sq.m.) Plot Area,3 BHK3 Baths,"₹ 3.33 Cr₹ 25,000/sq.ft."
180,1 BHK Apartment in Jalahalli East,"₹ 6,153/sq.ft.",780 sq.ft. (72 sq.m.) Carpet Area,(72 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 48 L₹ 6,153/sq.ft."
181,1 Bedroom House in Rajarajeshwari Nagar,"₹ 4,550/sq.ft.","1,876 sq.ft. (174 sq.m.) Plot Area",(174 sq.m.) Plot Area,1 BHK1 Bath,"₹ 85 L₹ 4,550/sq.ft."
182,Residential land / Plot in Hoskote,"₹ 3,500/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 42 L₹ 3,500/sq.ft."
183,Residential land / Plot in Banashankari Stage 6,"₹ 6,250/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,,"₹ 1.5 Cr₹ 6,250/sq.ft."
184,3 BHK Apartment in Thirumenahalli,"₹ 6,028/sq.ft.","1,410 sq.ft. (131 sq.m.) Carpet Area",(131 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 85 L₹ 6,028/sq.ft."
185,4 Bedroom House in Rajarajeshwari Nagar,"₹ 7,045/sq.ft.","4,400 sq.ft. (409 sq.m.) Built-up Area",(409 sq.m.) Built-up Area,4 BHK4 Baths,"₹ 3.1 Cr₹ 7,045/sq.ft."
186,6 Bedroom House in Indira Nagar Stage 2,"₹ 27,160/sq.ft.","1,215 sq.ft. (113 sq.m.) Plot Area",(113 sq.m.) Plot Area,6 BHK3 Baths,"₹ 3.3 Cr₹ 27,160/sq.ft."
187,3 BHK Apartment in Yelahanka,"₹ 4,950/sq.ft.","1,515 sq.ft. (141 sq.m.) Super built-up Area",(141 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 70 L₹ 4,950/sq.ft."
188,3 BHK Apartment in Vidyaranyapura,"₹ 6,029/sq.ft.","1,360 sq.ft. (126 sq.m.) Super built-up Area",(126 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 82 L₹ 6,029/sq.ft."
189,Residential land / Plot in Sarjapur Road,"₹ 1,098/sq.ft.","5,500 sq.ft. (511 sq.m.) Plot Area",(511 sq.m.) Plot Area,,"₹ 60.4 L₹ 1,098/sq.ft."
190,2 BHK Apartment in Banashankari Stage I,"₹ 9,500/sq.ft.","1,014 sq.ft. (94 sq.m.) Super built-up Area",(94 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 95 L₹ 9,500/sq.ft."
191,1 BHK Apartment in Thirupalya,"₹ 7,200/sq.ft.",500 sq.ft. (46 sq.m.) Carpet Area,(46 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 36 L₹ 7,200/sq.ft."
192,14 Bedroom House in Horamavu Agara,"₹ 13,533/sq.ft.","2,660 sq.ft. (247 sq.m.) Plot Area",(247 sq.m.) Plot Area,14 BHK14 Baths,"₹ 3.6 Cr₹ 13,533/sq.ft."
193,3 BHK Apartment in Hosahalli,"₹ 9,846/sq.ft.","1,117 sq.ft. (104 sq.m.) Carpet Area",(104 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.1 Cr₹ 9,846/sq.ft."
194,3 BHK Apartment in Whitefield,"₹ 4,533/sq.ft.","1,500 sq.ft. (139 sq.m.) Carpet Area",(139 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 68 L₹ 4,533/sq.ft."
195,Residential land / Plot in New Thippasandra,"₹ 10,276/sq.ft.","1,158 sq.ft. (108 sq.m.) Plot Area",(108 sq.m.) Plot Area,,"₹ 1.19 Cr₹ 10,276/sq.ft."
196,2 BHK Apartment in 8th Phase JP Nagar,"₹ 6,956/sq.ft.","1,265 sq.ft. (118 sq.m.) Super built-up Area",(118 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 88 L₹ 6,956/sq.ft."
197,3 BHK Apartment in Doddaballapur Road,"₹ 3,538/sq.ft.","1,187 sq.ft. (110 sq.m.) Carpet Area",(110 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 42 L₹ 3,538/sq.ft."
198,Residential land / Plot in Byrathi Village,"₹ 5,300/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 80 L₹ 5,300/sq.ft."
199,2 BHK Apartment in Nelamangala,"₹ 5,897/sq.ft.","1,187 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 70 L₹ 5,897/sq.ft."
200,4 BHK Apartment in Thanisandra Main Road,"₹ 9,806/sq.ft.","2,427 sq.ft. (225 sq.m.) Super built-up Area",(225 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 2.38 Cr₹ 9,806/sq.ft."
201,3 BHK Apartment in HSR Layout,"₹ 8,059/sq.ft.","1,675 sq.ft. (156 sq.m.) Super built-up Area",(156 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.35 Cr₹ 8,059/sq.ft."
202,2 BHK Apartment in Hoodi,"₹ 4,405/sq.ft.","1,135 sq.ft. (105 sq.m.) Carpet Area",(105 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 50 L₹ 4,405/sq.ft."
203,"Residential land / Plot in SBI Colony, Devarachiknahalli, Bommanahalli","₹ 10,000/sq.ft.","2,100 sq.ft. (195 sq.m.) Plot Area",(195 sq.m.) Plot Area,,"₹ 2.1 Cr₹ 10,000/sq.ft."
204,2 BHK Apartment in Kasturi Nagar,"₹ 8,292/sq.ft.","1,025 sq.ft. (95 sq.m.) Built-up Area",(95 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 82 L₹ 8,292/sq.ft."
205,"3 BHK Apartment in Yelahanka, Bangalore","₹ 4,812/sq.ft.","1,496 sq.ft. (139 sq.m.) Super built-up Area",(139 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 72 L₹ 4,812/sq.ft."
206,2 BHK Apartment in BEL Road,"₹ 5,777/sq.ft.",900 sq.ft. (84 sq.m.) Built-up Area,(84 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 52 L₹ 5,777/sq.ft."
207,Residential land / Plot in 8th Phase JP Nagar,"₹ 9,562/sq.ft.","1,600 sq.ft. (149 sq.m.) Plot Area",(149 sq.m.) Plot Area,,"₹ 1.53 Cr₹ 9,562/sq.ft."
208,Residential land / Plot in Hegganahalli,"₹ 3,200/sq.ft.","3,000 sq.ft. (279 sq.m.) Plot Area",(279 sq.m.) Plot Area,,"₹ 96 L₹ 3,200/sq.ft."
209,Residential land / Plot in Srirampura,"₹ 7,166/sq.ft.","4,800 sq.ft. (446 sq.m.) Plot Area",(446 sq.m.) Plot Area,,"₹ 3.4 Cr₹ 7,166/sq.ft."
210,2 Bedroom House in Banjara Layout,"₹ 7,086/sq.ft.","1,270 sq.ft. (118 sq.m.) Plot Area",(118 sq.m.) Plot Area,2 BHK2 Baths,"₹ 90 L₹ 7,086/sq.ft."
211,3 BHK Apartment in Yelahanka,"₹ 6,302/sq.ft.","2,380 sq.ft. (221 sq.m.) Super built-up Area",(221 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 1.5 Cr₹ 6,302/sq.ft."
212,Residential land / Plot in 2nd Stage Nagarbhavi,"₹ 10,800/sq.ft.","3,000 sq.ft. (279 sq.m.) Plot Area",(279 sq.m.) Plot Area,,"₹ 3.24 Cr₹ 10,800/sq.ft."
213,Residential land / Plot in Devanahalli,₹ 500/sq.ft.,"40,000 sq.ft. (3716 sq.m.) Plot Area",(3716 sq.m.) Plot Area,,₹ 2 Cr₹ 500/sq.ft.
214,7 Bedroom House in Hongasandra,"₹ 14,327/sq.ft.","1,382 sq.ft. (128 sq.m.) Plot Area",(128 sq.m.) Plot Area,7 BHK7 Baths,"₹ 1.98 Cr₹ 14,327/sq.ft."
215,Residential land / Plot in Machohalli,"₹ 3,121/sq.ft.","2,915 sq.ft. (271 sq.m.) Plot Area",(271 sq.m.) Plot Area,,"₹ 91 L₹ 3,121/sq.ft."
216,2 BHK Apartment in BTM 2nd Stage,"₹ 6,250/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 6,250/sq.ft."
217,3 BHK Apartment in Talacauvery Layout,"₹ 8,074/sq.ft.","1,610 sq.ft. (150 sq.m.) Super built-up Area",(150 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 8,074/sq.ft."
218,2 Bedroom House in RT Nagar,"₹ 13,181/sq.ft.","1,050 sq.ft. (98 sq.m.) Plot Area",(98 sq.m.) Plot Area,2 BHK2 Baths,"₹ 1.4 Cr₹ 13,181/sq.ft."
219,2 BHK Apartment in Mathikere,"₹ 6,889/sq.ft.","1,016 sq.ft. (94 sq.m.) Carpet Area",(94 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 70 L₹ 6,889/sq.ft."
220,3 BHK Apartment in Sarjapur Road,"₹ 6,675/sq.ft.","1,573 sq.ft. (146 sq.m.) Carpet Area",(146 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.05 Cr₹ 6,675/sq.ft."
221,2 BHK Apartment in Hallehalli,"₹ 3,839/sq.ft.","1,172 sq.ft. (109 sq.m.) Carpet Area",(109 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 3,839/sq.ft."
222,2 BHK Apartment in Dodda Nekkundi,"₹ 6,445/sq.ft.","1,055 sq.ft. (98 sq.m.) Super built-up Area",(98 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 68 L₹ 6,445/sq.ft."
223,3 BHK Apartment in Banashankari,"₹ 5,592/sq.ft.","1,520 sq.ft. (141 sq.m.) Carpet Area",(141 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 85 L₹ 5,592/sq.ft."
224,3 BHK Apartment in Koramangala,"₹ 15,500/sq.ft.","1,435 sq.ft. (133 sq.m.) Super built-up Area",(133 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 1.55 Cr₹ 15,500/sq.ft."
225,2 BHK Apartment in Dodda Nekkundi,"₹ 8,372/sq.ft.","1,275 sq.ft. (118 sq.m.) Built-up Area",(118 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 90 L₹ 8,372/sq.ft."
226,3 Bedroom House in Kengeri,"₹ 11,460/sq.ft.","3,490 sq.ft. (324 sq.m.) Plot Area",(324 sq.m.) Plot Area,3 BHK3 Baths,"₹ 4 Cr₹ 11,460/sq.ft."
227,3 BHK Apartment in Kadugodi,"₹ 5,209/sq.ft.","1,670 sq.ft. (155 sq.m.) Super built-up Area",(155 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 87 L₹ 5,209/sq.ft."
228,2 BHK Apartment in Sneha Colony,"₹ 4,914/sq.ft.",875 sq.ft. (81 sq.m.) Carpet Area,(81 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 43 L₹ 4,914/sq.ft."
229,2 BHK Apartment in Marathahalli,"₹ 5,845/sq.ft.","1,283 sq.ft. (119 sq.m.) Super built-up Area",(119 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 5,845/sq.ft."
230,Residential land / Plot in Chikka Tirupathi,"₹ 1,875/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 22.5 L₹ 1,875/sq.ft."
231,2 BHK Apartment in Sarjapur Road,"₹ 5,962/sq.ft.","1,258 sq.ft. (117 sq.m.) Super built-up Area",(117 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 83 L₹ 5,962/sq.ft."
232,2 BHK Apartment in 5th Phase JP Nagar,"₹ 5,416/sq.ft.","1,200 sq.ft. (111 sq.m.) Carpet Area",(111 sq.m.) Carpet Area,2 BHK3 Baths,"₹ 65 L₹ 5,416/sq.ft."
233,2 BHK Apartment in Chikkabanavar,"₹ 5,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 50 L₹ 5,000/sq.ft."
234,3 BHK Apartment in Dollars Colony,"₹ 9,917/sq.ft.","1,815 sq.ft. (169 sq.m.) Carpet Area",(169 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.8 Cr₹ 9,917/sq.ft."
235,2 BHK Apartment in Hennur Road,"₹ 6,715/sq.ft.","1,260 sq.ft. (117 sq.m.) Super built-up Area",(117 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 70 L₹ 6,715/sq.ft."
236,3 BHK Apartment in LB Shastri Nagar,"₹ 6,496/sq.ft.","1,370 sq.ft. (127 sq.m.) Super built-up Area",(127 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 89 L₹ 6,496/sq.ft."
237,2 BHK Apartment in Narayana Nagar 1st Block,"₹ 6,572/sq.ft.",989 sq.ft. (92 sq.m.) Carpet Area,(92 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 65 L₹ 6,572/sq.ft."
238,2 BHK Apartment in Hebbal,"₹ 4,500/sq.ft.","1,000 sq.ft. (93 sq.m.) Built-up Area",(93 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 45 L₹ 4,500/sq.ft."
239,2 BHK Apartment in BEL Road,"₹ 6,260/sq.ft.","1,150 sq.ft. (107 sq.m.) Carpet Area",(107 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 73 L₹ 6,260/sq.ft."
240,2 BHK Apartment in Peenya,"₹ 5,528/sq.ft.",814 sq.ft. (76 sq.m.) Carpet Area,(76 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 5,528/sq.ft."
241,9 BHK Independent Builder Floor in Kadubeesanahalli,"₹ 5,434/sq.ft.","4,600 sq.ft. (427 sq.m.) Super built-up Area",(427 sq.m.) Super built-up Area,9 BHK9 Baths,"₹ 2.5 Cr₹ 5,434/sq.ft."
242,2 BHK Apartment in Devi Nagar,"₹ 6,308/sq.ft.","1,395 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 88 L₹ 6,308/sq.ft."
243,2 BHK Apartment in Ambedkar Colony,"₹ 10,482/sq.ft.","1,450 sq.ft. (135 sq.m.) Super built-up Area",(135 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.52 Cr₹ 10,482/sq.ft."
244,2 BHK Apartment in Anantapuram,"₹ 5,172/sq.ft.",928 sq.ft. (86 sq.m.) Carpet Area,(86 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 48 L₹ 5,172/sq.ft."
245,2 BHK Apartment in Kirloskar Layout,"₹ 3,666/sq.ft.",900 sq.ft. (84 sq.m.) Super built-up Area,(84 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 33 L₹ 3,666/sq.ft."
246,3 BHK Apartment in KR Puram,"₹ 6,591/sq.ft.","1,502 sq.ft. (140 sq.m.) Built-up Area",(140 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 99 L₹ 6,591/sq.ft."
247,3 BHK Apartment in Kumarapalli,"₹ 5,040/sq.ft.","1,488 sq.ft. (138 sq.m.) Super built-up Area",(138 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 75 L₹ 5,040/sq.ft."
248,Residential land / Plot in Kaggalipura,"₹ 4,200/sq.ft.","10,800 sq.ft. (1003 sq.m.) Plot Area",(1003 sq.m.) Plot Area,,"₹ 4.5 Cr₹ 4,200/sq.ft."
